,epochs,num_fidelities_0,num_times_0,num_fidelities_1,num_times_1,num_fidelities_2,num_times_2,num_fidelities_3,num_times_3,num_fidelities_4,num_times_4
0,0,0.1196151758566548,0.0,0.13203757105007766,0.0,0.13158772602475682,0.0,0.13045487748125248,0.0,0.11928803469671248,0.0
1,1,0.16746285228111984,0.6501462459564209,0.23604248538162276,0.19196462631225586,0.23176623810702782,0.23143696784973145,0.236786770571651,0.20702362060546875,0.20432868639032528,0.3723609447479248
2,2,0.20611130752700177,0.6691160202026367,0.28067050327219073,0.22983884811401367,0.2807480288326305,0.26744508743286133,0.28837022453871985,0.24653863906860352,0.25106798988163287,0.40282654762268066
3,3,0.2354411941150626,0.6883726119995117,0.3050956625565899,0.2735559940338135,0.30892309818757036,0.3060574531555176,0.31786697683047055,0.2805368900299072,0.27034502268736327,0.43523406982421875
4,4,0.25819950899504784,0.7085096836090088,0.3281722045613515,0.30417823791503906,0.33054939807766875,0.34676480293273926,0.3423187306855151,0.3175656795501709,0.29239903390533545,0.46845340728759766
5,5,0.2745467467179177,0.7281816005706787,0.3482528476969683,0.33810973167419434,0.34750982726568663,0.3789794445037842,0.35840562896533323,0.3618893623352051,0.3047782955710656,0.5022766590118408
6,6,0.2867308418210122,0.7496986389160156,0.3653150964330018,0.37343406677246094,0.3614073658675591,0.41646718978881836,0.37125528378633255,0.3959693908691406,0.31456305187169237,0.5370361804962158
7,7,0.2981013329734289,0.768784761428833,0.37874058173354014,0.4132697582244873,0.3732864565882679,0.4567117691040039,0.3813516369886664,0.4302701950073242,0.3229953099625614,0.5688736438751221
8,8,0.3103476089582896,0.7889807224273682,0.39075988193196975,0.4547305107116699,0.38335136571704664,0.5015246868133545,0.3897293257636813,0.4649648666381836,0.3302293120987892,0.5995044708251953
9,9,0.321460522669074,0.8086934089660645,0.4010708825004083,0.490814208984375,0.3920277121711805,0.543999195098877,0.3970920042941005,0.5026218891143799,0.33648030742927637,0.6297516822814941
10,10,0.33195068785204984,0.8285059928894043,0.4094991819224128,0.5300896167755127,0.3994738102323185,0.5787520408630371,0.4036266731706886,0.5385408401489258,0.3421067872508287,0.6573443412780762
11,11,0.34157820722560095,0.8491466045379639,0.41682883965024303,0.5654163360595703,0.4060123757196043,0.6206800937652588,0.40923821790157566,0.5806758403778076,0.34708977480246267,0.6886003017425537
