,epochs,num_fidelities_0,num_times_0,num_fidelities_1,num_times_1,num_fidelities_2,num_times_2,num_fidelities_3,num_times_3,num_fidelities_4,num_times_4
62,62,0.15421988320497856395,155.33733439445496,0.27545684197025127604,154.88637709617615,0.1941311334120868759,154.354318857193,0.4633690032013879634,154.8886456489563,0.21112814943221908104,155.06631898880005
63,63,0.15311203013000820872,157.85011100769043,0.27217092659335329063,157.41751718521118,0.20493757113768892864,156.84254240989685,0.47011107890336073512,157.33716797828674,0.2089793940007783346,157.54145431518555
64,64,0.15281099657734498187,160.33940720558167,0.26881392919930113816,159.92492270469666,0.2204285399253627653,159.36162161827087,0.47606940491858645848,159.7957055568695,0.20912284618306950512,160.10729432106018
65,65,0.15353644813037234385,162.75793886184692,0.2656926352470225794,162.4696080684662,0.24035312124245988841,161.82349395751953,0.48451674118868331975,162.26171040534973,0.21277836211968445546,162.5580129623413
66,66,0.1547241665446925929,165.2019157409668,0.26291797850527554026,164.99391531944275,0.26449768379564042586,164.35852932929993,0.49466262776260894185,164.75880360603333,0.21962878370217128743,165.01703643798828
67,67,0.15615185050256980004,167.63614797592163,0.2605409724497614321,167.5723168849945,0.29157589495881786057,166.82735586166382,0.5054517417848144456,167.1926031112671,0.22658382173188260089,167.50195789337158
68,68,0.15797462056406666453,170.09608936309814,0.2588268109743100398,170.0440194606781,0.31928794449759767549,169.2465465068817,0.515164122737740815,169.65344262123108,0.22919934438610639615,170.0213658809662
69,69,0.16014514802844923014,172.54588389396667,0.25762362924950121812,172.45834827423096,0.34517407857920950898,171.65360856056213,0.52362187329044074247,172.07801985740662,0.22840844391629416821,172.62056350708008
70,70,0.16237920371171926659,174.96428394317627,0.25675348966701533326,174.8693721294403,0.3676394621651474237,174.1781587600708,0.53120689975027601815,174.49910259246826,0.22869951068522495485,175.11761093139648
71,71,0.16466138287004258856,177.4014163017273,0.25605022494218060425,177.29984974861145,0.38574571680316999123,176.6896595954895,0.5381132984502857708,177.00681567192078,0.23117455181794882568,177.5972900390625
72,72,0.16717672865371904778,179.82565903663635,0.2553716249293030427,179.83318877220154,0.4002515369708806725,179.15794777870178,0.5443338245122389951,179.53544116020203,0.2363938815337855992,180.05077815055847
73,73,0.16982676330616408578,182.295996427536,0.25476693740494943397,182.3050398826599,0.41168103066790706634,181.66494369506836,0.55074200861720612465,182.0535101890564,0.2437159265991685475,182.49314522743225
74,74,0.17278701976209973057,184.7203071117401,0.25414150127602103124,184.72427201271057,0.4210956842887932372,184.18346619606018,0.55838214373230476983,184.56518602371216,0.2510756109835219907,184.9649829864502
75,75,0.17658895658134574069,187.13517451286316,0.25359273123220715807,187.13440418243408,0.42867106244255615,186.71333980560303,0.5669819222912184653,187.0267357826233,0.2577816139937219586,187.50435328483582
76,76,0.1810005723844279879,189.6034014225006,0.25308016764632979,189.5565004348755,0.43504728775920886719,189.2345995903015,0.57482574206699899033,189.5763065814972,0.26424502881628153528,190.05303859710693
77,77,0.18541629888192323605,192.03789830207825,0.2528548011595945777,192.07838988304138,0.44061191934737986564,191.70282363891602,0.58072454200754719533,192.09200739860535,0.2713118667469764378,192.58975291252136
78,78,0.18879451712974512634,194.5887176990509,0.2527993390772934057,194.57693529129028,0.4459242314868610002,194.12681126594543,0.58548599293011749367,194.60191535949707,0.2798328692563037401,195.16370582580566
79,79,0.19187059806112827243,197.1215717792511,0.25271905427752683337,197.07116436958313,0.45121262104985065955,196.54845595359802,0.58909216568713773654,197.10375499725342,0.28805440188108782928,197.68909645080566
80,80,0.19671444073884761239,199.57759428024292,0.25277191128235371176,199.5906481742859,0.45604624424230572055,199.0103702545166,0.59114401383266557133,199.6281373500824,0.295900113775040996,200.2067093849182
81,81,0.20258444829149974131,202.07671427726746,0.25297939002668590192,202.07270574569702,0.45984350010231056505,201.4696180820465,0.5929719103811177394,202.22709488868713,0.30335208338710728526,202.71534419059753
82,82,0.2068880489868575312,204.50142693519592,0.25356938349192575943,204.5359673500061,0.4614291675429704198,203.96153497695923,0.5963248200850342906,204.7270004749298,0.31015080139645667678,205.17866945266724
83,83,0.20927860257540595312,207.03958439826965,0.2546577386247662611,207.0064206123352,0.46107236985537297658,206.43556785583496,0.60152439606146568263,207.16548037528992,0.31761295425314894914,207.74713730812073
84,84,0.20949325928800507923,209.5017168521881,0.25664642090028666477,209.51433205604553,0.46029973759082121187,208.86296558380127,0.6075430636194276701,209.73336720466614,0.32543341138837933446,210.2312536239624
85,85,0.20919205615068059423,211.96017122268677,0.25966065922925668508,211.99534130096436,0.45948104648444038078,211.3730869293213,0.613658919188936558,212.207435131073,0.33482033109265169069,212.72733783721924
86,86,0.2103636556984583017,214.43498539924622,0.26335887746316005709,214.44720554351807,0.45794686261581130093,213.81946635246277,0.6193041170685636976,214.81277084350586,0.349155135016756768,215.1992781162262
87,87,0.21294782236081732929,216.89099049568176,0.2674194686723280201,216.98341608047485,0.4556784343657892533,216.30330777168274,0.62458150418378133306,217.2481291294098,0.36750035977683137567,217.70692086219788
88,88,0.21467183570810904891,219.41837549209595,0.27157483772985563375,219.46457147598267,0.4533226485885482604,218.7722771167755,0.62981469523871125293,219.74460697174072,0.3887762056237090147,220.25578618049622
89,89,0.21410582344345263639,221.93396639823914,0.27560868307429664537,221.9147584438324,0.4518371850376227683,221.2094099521637,0.63472647249417257775,222.27087545394897,0.40972291978454283834,222.77813625335693
90,90,0.21187012771980007209,224.36251187324524,0.27937302619744724952,224.38262057304382,0.4520517562009312429,224.08280444145203,0.63974460549769951445,224.80376839637756,0.42533651871769745378,225.28818345069885
91,91,0.20902679106780672202,227.23404717445374,0.28269599319874505472,227.3019096851349,0.4540389004409621232,226.57345867156982,0.6447921077565974546,227.3451006412506,0.43267411155056451078,227.8275589942932
92,92,0.20816218165910208016,229.78961634635925,0.28558195707629618898,229.79224705696106,0.45746579198268860766,229.02735495567322,0.6505491461860172242,230.1886763572693,0.43059233219160214512,230.3293912410736
93,93,0.20908718940679035803,232.30956721305847,0.2883009600965831809,232.28195595741272,0.46182692333422575848,231.46910572052002,0.6566410928982135964,232.64833784103394,0.41929486560161355335,232.88939237594604
94,94,0.20897200750768185618,234.74452877044678,0.29069812749996837287,234.74056696891785,0.4670177129174141184,233.9678385257721,0.66275666952376721675,235.1474814414978,0.4014546973473578917,235.36733293533325
95,95,0.20809956063129639303,237.1830940246582,0.29292343434874140717,237.21454310417175,0.472283217423135393,236.50351357460022,0.66852763509253743113,237.7356424331665,0.38028949147241308815,238.18779945373535
96,96,0.2077415359055345967,239.6463007926941,0.29522874672453330858,239.68892002105713,0.4776689752985698867,238.93792414665222,0.6739048574551008697,240.30443000793457,0.36024537074888962618,240.63108253479004
97,97,0.20889291375955801322,242.09959650039673,0.29841730749880568396,242.12904691696167,0.48339138898055244997,241.36810278892517,0.6785647816944779809,242.80179262161255,0.34632509222214102884,243.1475281715393
98,98,0.21131481197301729691,244.60990166664124,0.3024679313567829042,244.6631555557251,0.48939145370831615978,243.88235449790955,0.68227468337483920813,245.27789783477783,0.33906400574065048703,245.63281273841858
99,99,0.21333410752522391496,247.05535793304443,0.30712096191251064825,247.1672568321228,0.49566917250698189212,246.40121412277222,0.6852509023185656689,247.78111004829407,0.33972326419368747974,248.06602239608765
100,100,0.21478000642201772186,249.52496910095215,0.31210050712315218213,249.62733125686646,0.50164296312123868304,248.95767760276794,0.68850373354664184955,250.32396125793457,0.3445845898995452128,250.48753428459167
101,101,0.21417669437026934376,251.96437859535217,0.31705459242781686147,252.2079198360443,0.50719017263240262494,251.4016978740692,0.69478002548083317436,252.8071699142456,0.35380221489171870264,252.95537066459656
102,102,0.21123169383141510158,254.45803260803223,0.3222678979710971725,254.7695848941803,0.51171967351953617786,253.88586521148682,0.7018408545493495243,255.24623203277588,0.36649909731774876764,255.50241446495056
103,103,0.20757716662624764448,257.0413644313812,0.32756372839147879228,257.226185798645,0.51520221093694451575,256.31592750549316,0.7064982759514103483,257.6887652873993,0.38152905150625870956,258.0602512359619
104,104,0.2051517957914704704,259.4974699020386,0.33258558937222254537,259.7366244792938,0.51781227247045658046,258.8744270801544,0.71059389489956736874,260.15572118759155,0.39830928433005052813,260.59409832954407
105,105,0.20407843420488266939,261.9084794521332,0.33722087825583113574,262.28320717811584,0.5197982235048693722,261.3662714958191,0.7150741846507032706,262.68095898628235,0.41606379506863910844,263.13513827323914
106,106,0.20249855649187234463,264.3983542919159,0.34091918306071034017,264.82340574264526,0.5216006686888754462,263.831107378006,0.71876001810556411353,265.17254161834717,0.4345907137805710141,265.6623501777649
107,107,0.20061760600678701927,266.9331934452057,0.34416153017165562744,267.344557762146,0.52359958891937452563,266.310551404953,0.721536115944788059,267.6250195503235,0.45285489588235333658,268.22949981689453
108,108,0.19951393499473174531,269.44370579719543,0.34703921632731493663,269.8360025882721,0.5257958664723888509,268.77434611320496,0.72412208833937197205,270.1109654903412,0.4748220096974685167,270.7471270561218
109,109,0.19831181861641583586,271.9305558204651,0.35011227796135402368,272.31003165245056,0.5282130912766278552,271.26434564590454,0.72603173995138525765,272.6443302631378,0.49926795397184275949,273.22134947776794
110,110,0.19659779931576376599,274.42264461517334,0.35257924257293699055,274.77325987815857,0.5307401670551475936,273.77467465400696,0.72711435990606765323,275.2136571407318,0.51940420110099261297,275.7346827983856
111,111,0.19497166490066281108,276.9385061264038,0.35362047109063082795,277.2899639606476,0.5334489499424365233,276.2325282096863,0.7276719555053254851,277.7648780345917,0.5333776673589891715,278.2050783634186
112,112,0.19419260144832523052,279.49431324005127,0.35311873030729268308,279.80303835868835,0.53648385639168405525,278.7092044353485,0.7290662371966621924,280.1981074810028,0.53986560221291213235,280.75397300720215
113,113,0.19487904460902114034,281.903847694397,0.35137715031216165684,282.3011567592621,0.5399235676567878395,281.1327085494995,0.7313066748029830588,282.6318304538727,0.5423468217421126836,283.2846648693085
114,114,0.19734938961594952755,284.392991065979,0.34920444591426663683,284.8033812046051,0.5439203226806538227,283.64356875419617,0.73381469089794815197,285.13561058044434,0.5471266170067404788,285.7776427268982
115,115,0.20138725456097228417,286.8360993862152,0.347081678373540925,287.38735580444336,0.5484036681011749126,286.06231808662415,0.73623197959583264183,287.6451053619385,0.5565520706951417873,288.26429271698
