,epochs,num_fidelities_0,num_times_0,num_fidelities_1,num_times_1
0,0,0.107144731805346296594,5.912487745285034,0.27919716718896597785,5.789764404296875
1,10,0.25227580098881752235,31.735915899276733,0.2188402221451567764,29.39147114753723
2,20,0.23057503300192438989,54.97297716140747,0.32808479762085956954,53.08501958847046
3,30,0.29507495916891496313,78.84925246238708,0.289614336152570373,76.44351243972778
4,40,0.38779669492261009678,101.94979476928711,0.319243360793524944,106.05819702148438
5,50,0.3665114330934560738,125.57328033447266,0.24775007706245563699,131.9598786830902
6,60,0.32808618669152733727,150.13033056259155,0.18499568505372201987,157.60822415351868
7,70,0.34775878358576400862,173.90720891952515,0.4017338204619460562,181.85517525672913
8,80,0.30415563998545164237,197.61593341827393,0.2941291296385941667,205.55762386322021
9,90,0.2705670027411841705,222.05550622940063,0.32987008509126464206,229.39370012283325
10,100,0.28050845578826327786,245.75086617469788,0.32653402206022369425,252.99984574317932
11,110,0.3730223749368798969,269.38164615631104,0.3228242150995085935,276.6228368282318
12,120,0.2786293066872422841,292.869549036026,0.3405330364408712951,300.1683487892151
13,130,0.29686000008546964413,317.294203042984,0.29880324901305865826,323.67564606666565
14,140,0.33789905738778130972,340.91896390914917,0.3125967765261003506,347.28138518333435
15,150,0.25128254042499692522,364.65139603614807,0.33641945960997604592,370.8276674747467
16,160,0.34152183845457828593,388.22731471061707,0.27656360936642165882,394.39873123168945
17,170,0.32865184359473809117,411.9453363418579,0.32707961895608433922,417.8502426147461
18,180,0.30422761769969208778,436.4500277042389,0.33166971376035431218,441.45666313171387
19,190,0.37365455758229471073,460.0705461502075,0.27580809466336153601,465.0455873012543
20,200,0.30656491649174222314,484.1097011566162,0.2869664641190740606,488.70206093788147
21,210,0.32656286363464948064,509.2707178592682,0.27391026709968796515,512.3001375198364
22,220,0.22834392159071073558,534.2712166309357,0.28355972511800392466,535.7149069309235
23,230,0.26496905683922483687,558.6394574642181,0.28547930954575795326,559.1908156871796
24,240,0.29808771399009775793,584.47238945961,0.31310109656412127288,582.8368198871613
25,250,0.27933945450139308075,608.1242017745972,0.29942562676912459763,611.338561296463
26,260,0.3026102494244161667,631.7241086959839,0.247606206308782828,635.5677964687347
27,270,0.32723324480361187794,654.9947850704193,0.3574018840660752594,658.8555333614349
28,280,0.2822584944673786067,678.412499666214,0.36927622731587650406,681.8795685768127
29,290,0.299114595171726394,702.0054242610931,0.37385062000910429525,704.9886128902435
30,300,0.29997006620764493645,727.0154209136963,0.33580784052382417482,728.2265133857727
31,310,0.20192473337949273793,750.5941543579102,0.28879154805008511175,752.4512147903442
32,320,0.31747816949785556684,774.0252411365509,0.28433352320918198197,777.5769584178925
33,330,0.3201201178269032499,797.665689945221,0.3019460203447709712,801.7419822216034
34,340,0.25074975011454536666,821.2387657165527,0.33704993640370861652,824.8174695968628
35,350,0.31432045050030971156,844.8210339546204,0.28608469381917905894,848.4904429912567
36,360,0.31093705917294417462,868.4684512615204,0.40220863910755044746,871.659131526947
37,370,0.23794646584665957167,892.0474095344543,0.33738620492263843298,894.6497702598572
38,380,0.37680110951798106989,917.2259492874146,0.28790687279502003015,917.7269971370697
39,390,0.4096696285427878781,940.8804085254669,0.33556000065841529167,940.7048499584198
40,400,0.30091132868643238885,964.3364078998566,0.33346513777412062352,963.7636408805847
