,epochs,num_fidelities_0,num_times_0,num_fidelities_1,num_times_1,num_fidelities_2,num_times_2
0,0,0.13027909253563346725,4.778149604797363,0.16957825326956779688,6.2620062828063965,0.13027909253563346725,3.767432928085327
1,10,0.22814509837679064486,31.805331707000732,0.28359872131882918334,30.23185420036316,0.21045087733042616707,27.60926914215088
2,20,0.24756550598436055655,55.7970929145813,0.16659903277514356845,53.77574586868286,0.2188552816990486094,52.415902853012085
3,30,0.29826193684033885933,80.21018958091736,0.23950721135321606514,82.17885518074036,0.34671356610003983834,77.48342752456665
4,40,0.22898887450104946084,103.84991478919983,0.31249643682334088401,106.58314895629883,0.30352835271183514765,101.95622062683105
5,50,0.40949107954265634435,127.7239978313446,0.32824405579928078724,130.5719883441925,0.27860875308668292538,126.38534593582153
6,60,0.34195853435216189142,152.20787644386292,0.3463026982014374977,154.58740997314453,0.26982057896595967872,150.6948230266571
7,70,0.32452461248425207296,176.24487352371216,0.39209729851683966517,178.58681416511536,0.2569364563351560493,174.84515690803528
8,80,0.37059657751481411836,199.93730449676514,0.26176062533234223384,202.42048239707947,0.36206115733819060898,199.25112104415894
9,90,0.2791040198609699985,224.38041639328003,0.3057159783942065001,226.6514208316803,0.30925544824621542528,223.64794516563416
10,100,0.31785817785027742355,248.13064002990723,0.28032867069241312885,250.65779304504395,0.33890492071928918216,248.2371163368225
11,110,0.2516780372374072261,272.0140483379364,0.33282278296565531717,274.76275062561035,0.3209810241571161571,272.77321767807007
12,120,0.3121895650847713033,295.7949833869934,0.32097718201642549962,298.8206741809845,0.2595512810816040239,297.269193649292
13,130,0.32121468591816637606,320.3597664833069,0.28136525158507408317,322.97315764427185,0.31488390465109722394,330.1652739048004
14,140,0.2633979678740934749,344.131117105484,0.3926697373197872154,347.2063534259796,0.3260418365294612264,355.3525288105011
15,150,0.26182116812781153214,367.73170137405396,0.4054648146528171404,371.4476010799408,0.40187963238251139808,380.5050776004791
16,160,0.36601550740304639175,391.5185465812683,0.32174301050987946793,395.7089593410492,0.3457023289934364474,405.4361491203308
17,170,0.3347622299265647361,415.5508794784546,0.33697778708060632802,419.9194583892822,0.30424707800927863754,430.09231638908386
18,180,0.29354791711548561262,440.56392073631287,0.30225213980686477244,444.11504340171814,0.29882965191812693728,454.5977191925049
19,190,0.31241772207191514932,464.3529164791107,0.36081430896131178043,468.3756220340729,0.28301397719906895567,479.1678993701935
20,200,0.3660043785121880333,488.0555639266968,0.4246761452896302691,492.48604702949524,0.26642308427358907252,503.44479060173035
21,210,0.2688195459183991276,511.728554725647,0.35625529137959843773,516.8542947769165,0.30358141514921371806,527.7194554805756
22,220,0.27386559098743901153,535.0034763813019,0.35518768002402678619,541.0281827449799,0.3073491610834295229,551.8270359039307
23,230,0.38017111056672664438,559.62712931633,0.3540908678692895606,565.3287382125854,0.2735084153532134632,575.9162619113922
24,240,0.40008100621768460936,583.0463502407074,0.30409484298235434085,594.7689280509949,0.37757472663143210045,600.271256685257
25,250,0.29306827243407557182,606.4335114955902,0.40585966218252017557,619.5309085845947,0.3309390488597244162,624.5280120372772
26,260,0.36665920488258779697,629.8453178405762,0.29457043332075361075,644.1070382595062,0.34286048998060947302,648.191303730011
27,270,0.33306585903341767718,653.1921699047089,0.32713684468926801374,668.3995923995972,0.25202945598544573835,671.6535601615906
